"","Date","Locality","Locality_ID","Plot_ID","Plot_ID_new","Species_norwegian","Presence_quadrat","Quadrats","Comment","Sampling"
"1","22.07.2024","Skipstadsand","SKI","13","SKI13","honningblom",NA,NA,"","MSc"
"2","22.07.2024","Skipstadsand","SKI","2","SKI2","honningblom","1",1,"Små furuplanter","MSc"
"3","22.07.2024","Skipstadsand","SKI","14","SKI14","honningblom",NA,NA,"","MSc"
"4","22.07.2024","Skipstadsand","SKI","9","SKI9","honningblom","1",1,"","MSc"
"5","22.07.2024","Skipstadsand","SKI","4","SKI4","honningblom","1",1,"Kant av sti","MSc"
"6","22.07.2024","Skipstadsand","SKI","6","SKI6","honningblom","1",1,"I kant av sti","MSc"
"7","22.07.2024","Skipstadsand","SKI","3","SKI3","honningblom","1",1,"I kant av sti","MSc"
"8","22.07.2024","Skipstadsand","SKI","7","SKI7","honningblom","1",1,"","MSc"
"9","22.07.2024","Skipstadsand","SKI","8","SKI8","honningblom","1",1,"","MSc"
"10","23.07.2024","Filletassen","FI","1","FI1","havsivaks","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",16,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"11","23.07.2024","Filletassen","FI","1","FI1","blåkoll","1,3,4,5,6,12,13",7,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"12","23.07.2024","Filletassen","FI","1","FI1","gåsemure","1,2,3,4,9,10,11,12,14,15,16,5,6,7,8",15,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"13","23.07.2024","Filletassen","FI","1","FI1","kornstarr","9,11,12,13,14,15,16,2,5,6,7,8",12,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"14","23.07.2024","Filletassen","FI","1","FI1","sumpmaure","10,13,14,15,16,1,5,12",8,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"15","23.07.2024","Filletassen","FI","1","FI1","engsoleie","1,2,3,7,9,12,13,16",8,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"16","23.07.2024","Filletassen","FI","1","FI1","rødkløver","2,10,13",3,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"17","23.07.2024","Filletassen","FI","1","FI1","tepperot","2,4",2,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"18","23.07.2024","Filletassen","FI","1","FI1","honningblom","2,13,3",3,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"19","23.07.2024","Filletassen","FI","1","FI1","engknoppurt","3,4,5,8,10,11,12,15",8,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"20","23.07.2024","Filletassen","FI","1","FI1","mjødurt","3,9,15,16,5",5,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"21","23.07.2024","Filletassen","FI","1","FI1","tiriltunge","4,9,10,13,14,16,7,8",8,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"22","23.07.2024","Filletassen","FI","1","FI1","","4,15",2,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"23","23.07.2024","Filletassen","FI","1","FI1","tveskjeggveronika","9,10",2,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"24","23.07.2024","Filletassen","FI","1","FI1","ryllik","6,13",2,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"25","23.07.2024","Filletassen","FI","1","FI1","blåklokke","8,2",2,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"26","23.07.2024","Filletassen","FI","1","FI1","sløke","9",1,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"27","23.07.2024","Filletassen","FI","1","FI1","myrtistel","11",1,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
"28","23.07.2024","Filletassen","FI","1","FI1","hjertegras","1,2,3,4,5,6,7,8,10,14",10,"Abacina - se bilde. karse?+
tveskjeggveronika, ee Rubens innsamling","S123"
